"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.170890636047869","0.153629286138568","0.147323753657167","0.137528308917508","0.125331654968385","0.129842221309462","0.129043643693335","0.12978048141637","0.12686796764865","0.123502176680941","0.116420949277031","0.123028896063643","0.117328187663553","0.108715361762224","0.122241141010517","0.321259021088648","0.312230252744725","0.282848129056252","0.269519904004355","0.313498837139145","0.310652795540523","0.309828851575523","0.292119815115197","0.233638340984213","0.28568476861906","0.312791523046122","0.333652280799145","0.409367987824352","0.383435510524119","0.46812610011623","0.490281371969756","0.409635716904122","0.521900262311773","0.582359174155182","0.56116683284846","0.571135954065482","0.54946048482202","0.617976687984145","0.705070802888886","0.735666024525431","0.738260979229421","0.821894934277205","0.970850290303015","1.99505222691534","2.81845992118469","","","","","","","",
"Afghanistan","AFG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.457197731032896","0.414616329183042","0.366894899313817","0.372011345236038","0.32439832216425","0.2944121527594","0.274564949779792","0.286943058377277","0.229179405800303","0.20906090974466","0.193530929271824","0.195435725570699","0.218695922558384","0.22636715127879","0.192048053076529","0.173891558591494","0.168653928866709","0.162743760714447","0.152006545367473","0.158850024367288","0.168832074046054","0.165210806594874","0.166003559230631","0.163800190758014","0.160355347805174","0.150019988932151","0.147412534928227","0.163324148197234","0.15175417059653","0.159196185871015","0.176174618591676","0.168132378096597","0.150837658229393","0.326754213235423","0.353200648853665","1.56808405239328","0.493937016438309","0.490828692859778","0.415212142850087","0.366264492842606","0.343813483153627","0.292239133488469","0.317509185678748","0.317288432255318","0.37513611436431","","","","","","","",
"Angola","AGO","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Albania","ALB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Andorra","AND","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000395636689393318","0.00039638992666836","0.000354877356570196","0.000325944702714991","0.000308333760383697","0.000295113922689567","0.000280125967585447","0.000793813908481579","0.000735249963875098","0.00627082675371233","0.0495310623226034","0.0943712168066974","0.084305641744072","0.112647186847749","0.134365078450793","0.128855805764539","0.126848453299279","0.1644188230827","0.165379001704744","0.203470486764385","0.284971050433013","0.281047347048814","0.25299573863368","0.354141653832191","0.416864960491063","0.452669665455502","","","","","","","",
"United Arab Emirates","ARE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0941424563649715","0.258307016339421","0.23240111175667","","","","","","","",
"Argentina","ARG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.241280054182188","0.292420769777918","0.2137954315292","0.207513416815742","0.211294005384589","0.188641779189833","0.188196094159751","0.182449004007896","0.247071012991153","0.2417770614013","0.216277453075517","0.273278844707416","0.348812873520452","0.211270737890851","0.256268640229758","0.218353978327857","0.207536655200907","0.231596677257589","0.235592247233276","0.210878990934174","0.186487141711579","0.182530734954636","0.173769000909445","0.186026322724666","0.17458777885548","0.520908073357633","0.637638662203657","0.672863859914609","0.709607665254079","0.79631087616691","0.745713810131499","1.11422921625046","1.21047484515919","1.24494583936505","1.2911054023566","1.61693288044241","1.57147511986222","1.33054833722575","1.14994381515596","1.77227114151825","1.66338620663039","2.02909450183223","2.11535972619681","1.96826453938701","1.89849403616245","","","","","","","",
